Shanon entropy,mPRH,instHR,Soft Decision
2.966944106,4603.734759,58,0
3.059571591,4371.285929,54,0
2.922389909,4503.616814,54,0
2.827275874,4398.206208,54,1
2.989931048,4517.076953,55,0
3.01642073,4398.206208,53,0
2.964664332,4384.746069,51,0
2.929888352,4398.206208,56,0
2.999092918,4425.700038,57,0
2.920168687,4453.193868,57,0
3.027353547,4502.387448,56,0
3.057292074,4551.581028,55,0
3.098343422,4593.764363,56,0
3.039814406,4551.581028,55,0
3.026807364,109229.7771,45,0
3.025803381,100419.8367,40,0
2.963117303,109229.7771,43,0
3.046057151,118039.7175,43,0
3.137527474,118837.6606,42,0
2.969443525,118039.7175,38,0
3.098765137,112855.8235,44,0
3.124841912,118039.7175,45,0
3.150987834,118837.6606,48,0
3.115182681,119635.6037,53,0
3.126361353,131016.4929,53,0
3.14859988,139736.5811,55,0
3.120456055,134780.3639,49,0
3.129683776,139736.5811,51,0
2.609246538,12855.66681,55,1
2.421740322,12698.1635,54,1
2.268921886,12675.79048,56,1
2.22819093,12653.41746,55,1
2.387899151,12475.6415,55,1
2.34257139,12297.86554,55,1
2.414702998,10837.10675,54,1
2.231448152,9376.347971,54,1
2.127399399,10837.10675,53,1
2.024034822,12297.86554,53,1
2.003102334,11237.23584,53,1
2.066973142,11449.88074,52,1
1.832471716,10813.24344,53,1
2.042989349,11449.88074,53,1
1.92126853,10813.24344,53,1
2.25878739,10176.60614,53,1
2.189510847,9776.477054,53,1
2.127425063,9376.347971,54,1
2.135480026,9173.031008,52,1
2.104533061,8969.714045,53,1
2.043590737,8932.926042,52,1
1.665118419,8896.138038,51,1
1.890657825,8566.755749,51,1
1.838863164,8237.373459,51,1
1.761461598,8164.221624,52,1
2.931265314,817.1891105,55,0
2.669205426,777.5992609,55,1
2.497665479,787.2629534,56,1
2.328429269,796.9266458,57,1
2.374174966,788.1694522,56,1
2.444653685,779.4122585,59,1
2.443651111,788.1694522,60,1
2.396598759,779.4122585,61,3
2.502528898,788.1694522,62,3
2.630947688,796.9266458,62,3
2.676091096,788.1694522,64,3
2.560230711,779.4122585,62,3
2.608619722,788.1694522,59,1
2.656965462,796.9266458,58,1
2.66835352,805.2096778,59,1
2.663590916,813.4927099,60,1
2.542668198,811.3303082,61,3
2.506182371,809.1679066,62,3
2.278275643,811.3303082,65,3
2.229780063,813.4927099,66,3
2.159423571,827.9035504,64,3
2.130361966,842.314391,63,3
2.131011123,849.5466755,62,3
2.112405393,856.77896,62,3
3.04603855,10157.41358,53,0
2.895347214,13604.54365,54,1
2.656640445,10157.41358,58,1
2.553964041,13604.54365,60,1
2.537788873,20223.6903,61,3
2.185116391,26842.83696,59,1
2.49911559,44778.32407,60,1
2.702195368,56600.61361,59,1
2.862364629,41721.72529,61,3
2.155838888,11207.31647,55,1
2.044746156,10553.72405,54,1
1.801524174,10565.48184,56,1
1.760728544,10577.23962,56,1
1.918101277,10565.48184,57,1
1.87001189,10553.72405,56,1
1.921881221,10156.01247,56,1
1.922130788,9758.300897,56,1
2.002411482,10156.01247,56,1
2.063219978,10553.72405,56,1
1.95356981,10156.01247,56,1
1.996950689,10091.10897,56,1
2.011770238,9924.704933,55,1
2.115032507,9758.300897,55,1
2.063957724,9643.723789,54,1
1.759810727,9529.14668,54,1
1.617120855,9365.490099,53,1
1.66118083,9201.833518,53,1
1.757781139,9178.506749,53,1
1.642733138,9155.17998,53,1
1.600598921,9101.914234,53,1
1.605406513,9048.648487,53,1
1.700157737,9101.914234,53,1
2.01358331,9048.648487,53,1
2.11587663,9040.315812,54,1
3.053030571,12629.23659,52,0
2.955566977,11979.36699,50,0
2.706838341,11385.11432,50,1
2.558038053,10790.86165,48,1
2.438480124,10057.858,48,1
2.69222009,10790.86165,50,1
2.749246389,11385.11432,49,1
2.779710499,11979.36699,45,1
2.889770674,11385.11432,45,1
2.804378283,10790.86165,46,1
2.817647298,10057.858,46,1
2.613106501,9324.85436,44,1
2.532905496,10057.858,46,1
2.517222254,10129.40814,49,1
2.314363397,2722.123568,60,1
2.210658223,2698.476702,60,1
2.199670721,2494.168874,60,1
2.08461404,2309.840684,61,3
1.829250238,2299.850865,62,3
1.725384507,2289.861047,63,3
1.641627774,2299.850865,64,3
1.689345462,2289.861047,66,3
1.737106004,2299.850865,66,3
1.774514352,2309.840684,66,3
1.807944061,2398.390917,66,3
1.841610115,2438.132692,67,3
1.899221013,2462.536921,66,3
2.174280249,2486.94115,65,3
2.336548305,2493.15343,64,3
2.431820643,2499.36571,64,3
2.452475107,2538.195896,63,3
2.417517726,2499.36571,62,3
2.336870296,2538.195896,63,3
2.128247369,2529.752939,63,3
1.999108515,2553.38951,63,3
1.264205469,38705.69477,69,3
1.223942085,38983.55192,70,3
1.253126883,40633.58088,70,3
1.163259112,42283.60985,70,3
1.122461737,42370.45144,70,3
1.116550609,42457.29304,70,3
1.12525124,42735.3627,69,3
1.137626171,43013.43237,68,3
1.161636863,43298.82131,68,3
1.208704863,43584.21026,68,3
1.332253817,45438.1498,67,3
1.31604312,47292.08934,66,3
1.31604312,47341.95207,66,3
1.282022729,47391.81479,67,3
1.336892189,48354.28338,68,3
1.265806514,49316.75197,68,3
1.121266125,50026.13505,69,3
1.216735918,50735.51813,69,3
1.20816836,50765.15446,70,3
2.23043267,2966.826669,67,3
2.074039648,3126.150605,69,3
1.976316153,2966.826669,70,3
2.003593732,3126.150605,70,3
1.975036475,2966.826669,69,3
2.082183536,3126.150605,69,3
1.953421565,3000.178213,68,3
1.859311049,2874.205822,69,3
1.837550497,2840.854278,70,3
1.806997159,2807.502733,71,3
1.834075375,2798.496401,72,3
1.827239648,2807.502733,72,3
1.816596903,2798.496401,73,3
1.849775742,2807.502733,73,3
1.762517354,2804.593387,72,3
1.727422568,2801.684041,70,3
1.737996493,2795.587055,69,3
1.759158617,2801.684041,64,3
